age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
59,blue-collar,1,1,0,0,1,0,2,5,8,226,1,-1,0,3,0
35,management,2,2,0,747,0,0,0,23,3,141,2,176,3,0,0
36,self-employed,1,2,0,307,1,0,0,14,8,341,1,330,2,1,0
39,technician,1,1,0,147,1,0,0,6,8,151,2,-1,0,3,0
41,entrepreneur,1,2,0,221,1,0,2,14,8,57,2,-1,0,3,0
43,services,1,0,0,-88,1,1,0,17,0,313,1,147,2,0,0
43,admin.,1,1,0,264,1,0,0,17,0,113,2,-1,0,3,0
20,student,2,1,0,502,0,0,0,30,0,261,1,-1,0,3,1
31,blue-collar,1,1,0,360,1,1,0,29,4,89,1,241,1,0,0
40,management,1,2,0,194,0,1,0,29,1,189,2,-1,0,3,0
25,blue-collar,2,0,0,-221,1,0,2,23,8,250,1,-1,0,3,0
31,services,1,1,0,132,0,0,0,7,5,148,1,152,1,1,0
38,management,0,3,0,0,1,0,0,18,9,96,2,-1,0,3,0
42,management,0,2,0,16,0,0,0,19,9,140,3,-1,0,3,0
44,services,2,1,0,106,0,0,2,12,6,109,2,-1,0,3,0
44,entrepreneur,1,1,0,93,0,0,0,7,5,125,2,-1,0,3,0
26,housemaid,1,2,0,543,0,0,0,30,4,169,3,-1,0,3,0
55,blue-collar,1,0,0,627,1,0,2,5,8,247,1,-1,0,3,0
67,retired,1,3,0,696,0,0,1,17,1,119,1,105,2,0,0
56,self-employed,1,1,0,784,0,1,0,30,5,149,2,-1,0,3,0
53,admin.,1,1,0,105,0,1,0,21,1,74,2,-1,0,3,0
31,technician,1,1,0,171,0,0,0,27,1,81,3,-1,0,3,0
59,management,1,1,0,42,0,0,0,21,9,40,1,-1,0,3,0
78,retired,0,0,0,229,0,0,1,22,10,97,1,-1,0,3,1
23,services,2,2,0,363,1,0,2,30,8,16,18,-1,0,3,0
36,management,2,2,0,553,0,0,0,11,1,106,2,-1,0,3,0
32,technician,1,2,0,396,1,0,0,13,8,205,3,-1,0,3,0
34,management,2,2,0,872,1,0,2,7,8,105,2,-1,0,3,0
55,blue-collar,1,0,0,145,0,0,1,2,3,59,3,5,2,1,0
26,blue-collar,1,0,0,0,1,0,2,21,8,425,1,-1,0,3,0
45,blue-collar,0,0,0,844,0,0,2,5,6,1018,3,-1,0,3,1
37,technician,2,1,0,228,1,0,0,20,1,1740,2,-1,0,3,0
38,technician,2,1,0,50,0,0,0,29,1,98,2,-1,0,3,0
57,management,1,1,0,82,0,1,1,4,3,140,1,-1,0,3,0
36,retired,2,1,0,101,1,1,2,26,8,314,1,-1,0,3,0
54,technician,0,1,0,784,1,1,2,15,8,579,1,-1,0,3,0
63,retired,1,1,0,415,1,0,0,7,10,323,1,-1,0,3,0
51,blue-collar,0,1,0,203,1,0,0,8,8,134,1,170,5,0,0
31,services,1,1,0,338,1,0,0,28,4,155,1,-1,0,3,0
29,technician,1,1,0,444,1,0,0,21,5,130,4,-1,0,3,0
41,management,1,1,0,0,0,1,0,7,5,630,3,-1,0,3,0
32,technician,2,2,0,360,0,0,0,19,9,164,2,-1,0,3,0
37,management,1,2,0,0,0,0,0,16,5,268,2,182,3,2,1
42,entrepreneur,0,2,1,2,1,0,2,5,8,380,1,-1,0,3,0
41,services,1,2,0,412,1,0,2,3,6,154,5,-1,0,3,0
56,retired,1,1,0,344,1,0,2,15,8,221,1,-1,0,3,0
41,blue-collar,0,1,0,174,1,0,0,14,8,367,2,297,1,1,0
40,technician,2,1,0,591,0,1,0,14,1,87,6,-1,0,3,0
50,blue-collar,0,0,0,388,0,0,0,5,3,701,1,-1,0,3,0
40,unemployed,1,1,0,219,1,0,0,17,9,204,2,196,1,0,0
27,admin.,0,1,0,451,1,0,0,16,5,652,1,-1,0,3,1
60,retired,1,0,0,5,0,0,0,26,1,63,2,-1,0,3,0
28,admin.,2,1,0,177,1,1,0,6,8,150,1,-1,0,3,0
52,services,1,1,0,657,0,0,1,7,5,398,2,460,2,0,1
41,technician,2,1,0,879,0,1,0,7,5,60,4,-1,0,3,0
35,blue-collar,2,0,0,293,1,0,2,30,8,521,2,-1,0,3,0
38,admin.,1,1,0,424,1,0,0,17,0,279,1,-1,0,3,0
39,blue-collar,1,0,0,111,0,0,0,18,9,201,2,-1,0,3,0
34,blue-collar,1,0,0,455,1,0,2,20,6,372,3,-1,0,3,0
27,services,2,1,0,-195,1,0,0,18,8,391,1,-1,0,3,1
30,admin.,2,2,0,261,0,0,0,19,10,233,1,137,20,0,0
31,unemployed,2,0,0,406,0,0,0,4,3,736,1,-1,0,3,1
36,blue-collar,1,1,0,0,1,0,2,6,8,337,1,-1,0,3,0
38,management,2,2,0,493,1,0,0,11,8,553,1,367,7,0,0
34,management,2,1,0,524,0,0,2,13,1,9,1,-1,0,3,0
32,management,2,2,0,574,1,0,0,14,0,259,2,145,3,0,0
37,blue-collar,1,1,0,427,1,1,2,9,6,371,3,-1,0,3,0
33,self-employed,1,2,0,483,1,0,0,3,3,280,2,-1,0,3,0
27,housemaid,1,0,0,0,1,0,0,23,5,435,3,-1,0,3,0
32,self-employed,1,1,0,217,1,1,0,15,5,317,5,-1,0,3,0
33,blue-collar,2,1,0,22,0,0,0,30,4,76,2,207,1,0,0
25,student,2,1,0,331,0,0,1,26,1,170,4,-1,0,3,1
25,technician,2,1,0,505,0,1,0,17,9,386,2,-1,0,3,1
39,blue-collar,1,0,0,52,0,0,0,13,1,69,1,-1,0,3,0
46,management,0,2,0,25,0,0,2,17,6,564,2,-1,0,3,0
45,blue-collar,1,0,0,419,0,0,0,18,1,113,4,-1,0,3,0
36,blue-collar,1,1,0,-231,0,1,0,15,5,779,2,-1,0,3,0
51,management,2,2,1,-55,1,0,0,11,8,281,2,266,6,0,0
34,self-employed,2,2,0,462,0,0,0,21,1,1877,3,-1,0,3,1
24,unemployed,2,1,0,119,0,0,2,15,11,51,1,-1,0,3,0
45,technician,2,1,0,586,0,1,0,28,5,32,3,-1,0,3,0
32,blue-collar,2,1,0,228,0,0,1,5,3,176,1,288,3,0,0
41,blue-collar,1,0,0,168,1,0,0,18,9,187,3,-1,0,3,0
37,blue-collar,1,0,0,0,1,0,2,26,8,24,1,-1,0,3,0
48,admin.,1,3,0,0,1,0,0,8,8,85,1,168,2,0,0
27,technician,2,1,0,769,1,0,2,9,8,317,2,-1,0,3,0
33,management,2,2,0,0,0,0,0,28,1,236,10,-1,0,3,0
29,admin.,2,1,0,428,1,1,0,7,8,54,1,345,2,0,0
34,management,2,2,0,0,0,0,0,5,3,71,1,-1,0,3,0
32,management,0,2,0,948,0,0,0,12,1,204,2,-1,0,3,0
32,management,2,2,0,0,1,0,0,22,5,455,2,-1,0,3,0
31,management,2,2,0,874,1,0,0,18,9,190,2,-1,0,3,0
42,admin.,1,1,0,323,1,1,2,8,8,280,2,-1,0,3,0
35,management,1,2,0,106,0,1,0,11,1,588,2,-1,0,3,0
46,admin.,1,1,0,179,1,0,0,29,4,194,4,436,1,1,0
37,technician,2,3,0,391,1,0,2,8,8,103,3,-1,0,3,0
41,entrepreneur,1,3,0,89,1,0,2,6,8,333,2,-1,0,3,0
36,management,2,2,0,442,1,1,0,29,5,102,3,-1,0,3,0
45,unemployed,0,0,1,-249,1,1,2,1,5,92,1,-1,0,3,0
39,technician,1,1,0,501,0,0,2,26,8,289,1,-1,0,3,0
35,technician,0,1,0,308,0,0,0,22,1,77,2,-1,0,3,0
55,admin.,1,1,0,602,0,0,0,1,6,324,3,90,2,2,1
55,technician,1,1,0,273,1,0,0,29,4,84,3,183,3,0,0
27,self-employed,2,1,0,50,0,0,0,29,4,168,1,-1,0,3,0
34,blue-collar,1,2,0,20,0,0,2,4,10,10,1,-1,0,3,0
41,admin.,2,1,0,-256,0,1,2,9,8,35,3,-1,0,3,0
43,services,1,1,0,978,1,1,2,26,8,82,2,-1,0,3,0
28,management,2,2,0,80,0,0,0,20,10,676,2,146,2,0,1
78,housemaid,1,1,0,499,0,0,1,16,7,80,4,-1,0,3,0
48,technician,1,2,0,310,0,0,2,6,8,135,1,-1,0,3,0
37,management,2,2,0,37,0,0,0,28,4,253,2,-1,0,3,0
40,admin.,2,1,0,462,1,1,0,6,0,272,1,335,4,1,0
43,admin.,1,1,0,-465,1,1,0,23,5,166,1,-1,0,3,0
37,admin.,1,1,0,176,1,0,0,5,8,147,2,347,1,0,0
37,admin.,1,2,0,0,1,0,0,17,9,65,2,119,1,0,0
28,technician,2,2,0,172,1,1,0,2,3,194,2,-1,0,3,0
32,services,2,1,0,0,0,1,0,11,5,333,2,-1,0,3,0
40,admin.,0,1,0,6,0,0,2,11,6,140,1,-1,0,3,0
34,services,1,1,0,-62,1,0,2,16,6,109,3,-1,0,3,0
34,admin.,1,2,0,899,1,0,1,19,9,377,3,7,4,2,0
37,services,2,1,0,21,1,0,0,2,3,96,1,271,2,1,0
36,technician,1,1,0,23,1,0,0,8,8,152,2,347,1,0,0
49,blue-collar,1,0,0,0,1,1,1,23,5,97,6,-1,0,3,0
33,self-employed,1,1,0,215,1,0,0,29,5,543,12,-1,0,3,0
57,retired,0,1,0,39,1,0,0,30,5,354,3,-1,0,3,0
38,services,1,1,0,1,0,1,0,21,9,152,2,-1,0,3,0
42,technician,1,2,0,782,0,0,0,3,0,285,1,-1,0,3,0
34,technician,2,2,0,992,1,0,0,4,8,301,1,88,2,2,0
29,blue-collar,2,2,0,455,0,0,1,21,0,403,1,-1,0,3,1
45,technician,2,2,0,0,1,0,0,18,9,139,2,-1,0,3,0
38,services,2,1,0,-196,1,0,0,2,3,60,1,271,1,0,0
25,blue-collar,2,1,0,-350,1,0,2,23,6,95,3,-1,0,3,0
38,technician,1,2,0,432,1,0,0,15,8,10,2,373,1,1,0
31,management,1,2,1,-253,0,0,0,12,1,220,4,-1,0,3,0
42,management,1,2,0,372,1,0,0,3,1,654,2,-1,0,3,1
30,blue-collar,1,1,0,975,1,0,0,13,8,256,2,351,2,0,0
49,blue-collar,1,0,0,305,1,1,1,10,5,834,10,-1,0,3,0
49,services,1,1,0,400,0,0,0,21,1,151,3,-1,0,3,0
53,retired,1,2,0,-22,1,0,0,31,5,20,3,-1,0,3,0
49,blue-collar,1,0,0,365,0,0,2,26,8,59,2,-1,0,3,0
41,self-employed,1,0,0,204,0,0,0,13,1,111,7,-1,0,3,0
32,services,2,1,0,406,1,0,2,6,8,227,1,-1,0,3,0
33,technician,1,1,0,-204,0,0,0,15,8,297,3,-1,0,3,0
33,technician,1,1,0,359,1,0,0,20,0,210,1,242,1,1,0
36,blue-collar,1,0,0,123,1,0,0,18,8,9,1,-1,0,3,0
35,technician,1,2,0,0,1,1,0,23,11,112,1,62,6,1,0
52,unknown,1,1,0,142,0,0,0,25,1,112,6,-1,0,3,0
